cloud	G28I1EI29
water	K28EM29
oil	K28O28EM29Q29
steam	K28CI72EM29
rain	K28CO62EI0M29
hail	K28CI76K27EM29
drink	K28CK26Q25EM29
sink	K28M19EM29
ice	K28CK27EM29
pool	K28M24Q1EM29IM24
snow	K28CO32DO78EI0M29
snowflake	K28O61CO32EI0M29Q49
freeze	K28EM29GK27
rice	O28CM10EQ29GM10
mud	O28Q1EQ29IQ25
swamp	O28Q25EQ29
island	O28EQ29IQ1QO28UQ29
sperm	M29EK28IK28M29
fertilization	M29EK28GI2IK28M29
non-fertilzation	I0I41M40GM25MK28QM29SI2UK28M29
barrier contraceptive	M29EK28IK28M29OI0
feeling	I8EI9
expressing feelings	I8CK26EI9
comfort	I8Q1EI9
discomfort	H17BI8Q1FI9
cloth	K1O1CI0GI0
number	O1BI14CK1FI14
building	I40M24Q1EI41IM24
garage	I40M24M26M32M77Q1EI41M26M32M77IM24
mobile home	E40I24M1M26M32EE41M26M32II24
yard	I40M24Q1EI41IM24Q1KM62QM24
fence	I40M24Q1EI41IM24Q1QM24SM63
chimney	I40M24Q1EI41II0KI63
ear	I9
sound	I9Q25
deaf, deafness	I17CI9Q25
continue	M1CM24GK61
upward	I60CI0
gas	I60K26CI0
bubble	K61DI60K26FI0
give	M19CI60EI0
exchange	M19CI60O62EI0
meet	M1GK61KK63M1
river	M1O28EQ29GK61
agreement	K1O1GI61M61
back and forth	M1O63Q1GK61
through	K74EI0
visit	M1EI40M24Q1GK61II41MM24
understand	M1EI18M24Q1GK61MM24
into	M1EI3GK61
crush	M1GK61KK26QK63M1
push	M1GK61KK27
squeeze	M1GK61KK27QK63M1
end	M1GK61II0
race	Q1EM1GO61KK61
crash	Q1CO62EI0
mirror	I41M40O49Q48EI0
success	G78
explosive	K63M25EG60K27Q62GG24O24IM25KK61
gathering	M25CK61EI62O60GG24O24IK63M25
year	I2GK62
orbit	I2EO63
arom	I2DL50EO63
nucleus	I2BL95DL50EO63
rotate	M60CM19GI11
mix	I18CM60EM19GL62
jump	M18GO62
turn	I21O63
swing	M60CM19IM60
wheel	M26M32M77
travel	Q1CM26M32M77
tyre	M61EM26M77
balloon	E2M23
sun	I2
north	I2CJ60
east	I2FK61
south	I2CN62
west	I2BK63
weather	I2K28CO62EI0M29
change	I2K28EI0M29
development	I2K28EI0M29IK74
machine	I2CM26M77
ring	I2CK26
melon	I2CK26EE10
light	I2CK26EM56
egg	O1CQ56GQ56KI2OI0
disk	I2EM56
head	I2CO25EK24
chin	I2CK56O25R60EK24GK56
cheek	I2CK56O25EK24GK56JK63
forehead	I2CH62K56O25EK24GK56
beard	P61DI2P68FK56O25P68HK24P68JK56
neck	I2P61CN48DQ49EK49L49N48FQ49
raccoon	I2K28M29CM56EK28M29GM56
bear	H50I2CM56EN56GH50M56
life	I2EI0
death, dead	I2I17EI0
new	I2EI0M1KK61
earth	I2I16
time	I2EI24M25
poetry	I11CE26Q25EI0I10KI8OI9
metaphor	E26Q25CI0
pretend	I1CE26EE24
generalization	I26M40M41
daughter	I40CM38Q25EI41M39
boy	I26M38CM39
child	I26M25Q25CM24
money	I26M26CI0
commerce, trading	M19CI26M26EI0
flower	I26CM24
stem	M61BI26DM24
garden	Q1CI26EM24
plant	I26CM10M24
park	I26CM24Q1GI23KI0I22
mouth	K26
lips	H62K26P60
currants	K26O26EM11O42
spider	M18CK26EM31
eue	K26CM56
eyelid	H62K26CM56
color	K26Q25CM56
news	K26CI9M56
eyeglasses	K26CM56EJ28IK26KM56
blind	I17BK26DM56
taste	I14K26Q25
food	K26Q25
is, exist	K26CK24
event	K26Q25CK24
mute, nonspeaking	I17CK26
name	I16CK26
language	K26CI9
combination	K26CK26
spit	K26EM11
kiss	K26EK26
grape	I26CM26EG10I26
bowtie	K26CO60EK26
ball	M26O25
earphones	M26CI18IM26
fruit	M26CI10
plum	M26N54CI10N55
cherry	M26N54CI10N55EI30M26N54GN55
tube	M26CM1Q1
smoke	M26CQ1IM30KI31
pipe	M26CQ1IM24M30KI31Q48MM24NM63
cigarette	M26CQ1ER60IM30KI31
baby girl	K26EK37M36IK24
baby boy	K26EK37M36
baby	K26EK24M25IK24
scissors	M26EI0M26
musical note	M26EI24M49
conscience	E18I18
forgive	E18I18M1EI0GK61
moral	E18I18CM25EK24
immoral	E18I18CM25
mind	I18
wish	I18CM30EI31
allow	I18K74EI0
decision	I18K74II0
idea	I18CO62EI0
opinion	I18CK26
observe	I18CK26EM56
absurd, nonsense	I16I17I18CK26EM56
state of mind	I18CK26EK24
fact	I18CK26Q25EK24
meaning	I16I18CK26
use	I18M41CK27EI0
knowledge	I18M24Q1IM24
system	I18M40Q1EM41
king	I18CM25EK56O56
fan	I18M41EM40
good	I18CM25EK24
science	I14I18Q1EI15
truth, true	I14I18Q1DL81EI15
mathematics	I14I18Q1CN54EI15K49N55
beetle	M38CI18M1M39EM38GM39IM38KM39
tortoise	I18M1M38CM39EM38GM39II40
bad	I8EI9KI18MM25UK80
judge	I18CM25M38Q25EM39
selfishness	I18BM85EI0
consideration	I18EI0FM86
doubt	I18DK81
interesting	I18EK80
important	I18DK80FK80
calculate	I18CN54EJ49N55
lead	I18IM1OK61
swan	M18O28EQ29GI30II65M31
fish	M18M19
morning	I2Q1KM56MI0OM85SM86
horizon	O61DM18Q1
curve	I21
container	M19
float	M19O28EQ29
take	M19IK74
plam tree	G42EG42I0
apple	K42M19EI10K42
peach	K42M19CN54EI10K42N55
cabbage	M11Q1CK42EM10
suitcase	M1M24Q1CK42IM24
handbag	I24M19II24
dromedary	M1M38CK42M39EM38GM39II40MI65
camel	K42M1M38CM39EK42M38GM39II40MI65
bison	K42M1M38CM39EK43M38GM39
person	Q25CI0
person	Q25CI0
man	M38CI24M39
woman	M38Q25CI24M39
boy	I26M38CM39
girl	I26M38Q25CM39
medicine	I30CI0M31
left	I25EI0
right	I0I25
parent	I40CQ25EI0I41
body	I6CI1Q1KI7
mushroom	K42M25CM24
snake	M42EO43IM42
dolphin	K45CI18K28GM29
pig	I43CI44EM1M38GM39IM38KM39
spiral	I34K43CK34M43EM34O43
gun	M1M43
pliers	I44CM40M41GI45
dog	I44CM1M38EM39GM38IM39
tail	I61EI44GM1M38IM39KM38MM39
pineapple	E11CI42K24O43EE10E24GK24
wings	I11EI10
airplane	I11CM26M77EI10
raptor	I11M66DM94EI10M66
greenhouse	I40M24Q1EI41IM24KI26MM10M24
angle	I11CQ25EI0I10
fly	M38CI11M39EM38GI10M39IM38KM39
bird	I11CM60EI10
bat	I11M1M38CM39EI10M38GM39
curtain	I0I1I23EI22II0
tree	I23EI0I22
branch	K61DI23HI0I22
trunk	I23BM61EI0I22
evergreen tree	I23K23EI0I22K22
countryside	I23Q1EI0I22
pumpkin	I2Q1Q23CK26
shamrock	M26Q23CI26EM26
cheese	M22M25EM24
grass	M10
grain	M10EM10
field	M10Q1EM10
iron	M10Q1EK42M25IM24
beaver	M10M23EM1M38Q28GM39IM38S29KM39
shell	M4O1O5Q28ES29
past	I7
present	I7EI6
moon	I7I21
banana	E10I7I21
future	I6
bean	I6CK26GI7
pea	I6DJ50N50GI7
expectation	I18CI6EL79
insurance	I40CI6DL79EI41
leaf	I6CI0I7
lime	I6CE10I7
butterfly	I6CI7EI6GI7
breasts	I6CI1M60Q1GM60KI7
crotch	I6CI1Q1ER60KI7
side	K61EI6GI1Q1OI7
waist	K61DI6FI1Q1NI7QK63
shoulder	F62I6CI1Q1KI7
stomach	I6CI1Q1EK62KI7
embryo	I6CI1Q1EK26GK24KI7
foetus	I6CI1K26Q1GK24M25KI7K24
uterus	I6CI1Q1EK38O25GK39KI7
birthgiving	I6CI1K26Q48ES62GK24M25Q24IQ48KI7K24
vagina	I6CI1Q48EK38O25Q60GK39IQ48KI7
ago	M31
then	M30
olive	M30CI10M31
pear	M30CI64K49Q25EE10I65GK49M31
avocado	M30CI64K49N54Q25EE10I65N55GK49M31
bread	M30CM1Q1KM31
toast	M30CM1Q1EJ62R60KM31
pita	M30CM1O1Q1KM31
hair	K54
pit	O54CO55
enclosure, closed	I3
low	M25Q25
side	K61DI3
top	I3CF62
centre	I3CK62
heater	I3CM30EI31
window with bars	I3K1O1CI0GI0
out of	I3CS62EM0
camera	I2I3CK26EM56
projector	I2I3CK26EM56IM1OK61
secret	I3CK26
sleep	I3CK26EM56
crush	I3CK27JK63
inside	I3EM56
outside	I3KM56
post, mail	I3I41EI40
window	I3M1EI0
chest of drawers	I3M1EK56O56
book	I3EI0
drawer	I61DI3M1HK56O56
cupboard	I3CM56EI0GM56
answer	I3DK81
exit	I3EM1KK61
postcard	I3EI24M25
cube	E40I3EE1IE40M40ME0
transportation	I27M26M77
cart	I27M26M77EK1KI61
lorry	I27M1M26M77EM26M77IM25M26M77JJ64KK65
thing	K27
goods	M19CK27
raw material	K27Q25
waste	I17CK27
waste container	I17M19CK27
melt	K27CK28GM29
pull	K27EM1KK61
solid	M27EI27
sledge	M27EQ25IM23
kite	E40I41M23EE41I40
video cassette	I0I1Q1CK26II1Q1KK26QI0
rectangle	I0I1Q1II25Q25MI0
parcel	I0I1I41M40Q1II25I40M41Q25MI0
page, paper	I0I25Q25EI0
door	I0I1II0
goal	I0I1CM26O25II0
shelf	I0I1M1II0
room	I1Q1II0
ceiling	I1Q1CJ60II0
floor	I1Q1CR60II0
floor covering	I1Q1CN62II0
wall	I1Q1II0JK63
corner	I1Q1II0JO63
steam bath	I1K28Q1CI60EI0M29II0
shower	I1K28Q1CO62EI0M29II0
open	I0Q1II0
fireplace	I0Q1CM30EI31II0
freedom, liberty	I0I8Q1EI9II0
awake	I0Q1CK26EM56II0
question	I0Q1DK81II0
shop	Q1II1Q1QI0SM19UI26M26WI0
dabge	I1I24M19II24
board	M1M24CN60IM24
train platform	M1M24IM24Q1JM1M26M77NM26M77
bus bay	M1M24IM24Q1JM1M26M77NM26M77QQ25RM25M26M77SJ64TK65
pier	M1M24IM24Q48KM1M19O28OI24Q29
brush	I24M1EI0II24
box	M24Q1IM24
comb	M24Q1EM24IM24
glass	I0Q25EI0
mug	I0Q25EI0K45
effect	I25I41M40Q25EI0
make	M40Q1EM41
cause	I0I41M40
therefore	K24K65M64
mountain	I17Q1II0
mine	I17Q1GO56II0
stone	M40Q25EM24
valley	I0I16Q1IQ1KN62QI17Q1YI0
bone	I56K24Q56
structure	I56K24Q56CI25Q25II56K24Q56
joint	O61DI56K24Q56FQ25LQ56
over	M1EK56
division	M1EK56O56
generalization	I26M40M41
dot	Q56
again	M56CM56
there	M56CM56EK63
before	M56CI0
around	I21M56
either	K61M56
that	P56BM64
powder	Q56EM56Q56
stamp	I1EI24M25II0
fold	I0M11Q1CO62
right angle	I0M25Q1EM24
space	I0M40Q1
arm	I24M25
forearm	I61DI24M25
elbow	K61DI24M25
muscle	I24K42M25
strong	I24K42M25EI0
compel	I18I24M25EI0
health	I24M25EI0
sitting	I24M25EM24
ride	I24M25Q1EM24GO61
steps	M24M25EI24I25
tray	O48CO49Q1KO48O49
standing	I0Q25
back of a person	G61DI0Q25
buttocks	K61DI0Q25
genitals	I0Q25BK63
erection	I0K64Q25DI63
male	I0M65Q25
penis	I0M65Q25DM63
key	M1M43IM24
lying down	Q1IM24
protection	I40EI41
harbour	I40O28EI41Q29
clothing	I40K1O1CI0EI41GI0
marriage	I40M26DM26EI41
cone	I40M19EI41
farm	I40Q1BM10EI41FM10
birth	I2Q1KI40NL78OI41K24
son	I40CM38EI41M39
offsprings	I40M38CM39EI41M38Q25GM39
umbrella	I40EI24I41M49O43
father	I40CM38EI24I41M39
mother	I40CM38Q25EI24I41M39
relative	I40EI41GQ25II0I40MI41
wife	I40EI41GM38Q25II24M39
stepmother	I40EI41GM38Q25II24I40M39KM38MI24I41M39
grandparent	I40CQ25EI0I41II40KQ25MI0I41
aunt	I40CM38Q25EI41M39HM86II40KQ25MI0I41
uncle	I40CM38EI41M39HM86II40KQ25MI0I41
grandmother	I40CM38Q25EI24I41M39II40KQ25MI0I41
grandfather	I40CM38EI24I41M39II40KQ25MI0I41
illness	M40EM41IM24
for	I41M40
purpose	I41M40EI41M40
weak	I41M40Q25
