nuage	G28I1EI29
eau	K28EM29
huile	K28O28EM29Q29
vapeur	K28CI72EM29
pluie	K28CO62EI0M29
grêle	K28CI76K27EM29
boisson	K28CK26Q25EM29
cuvette, évier, lavabo, bassine	K28M19EM29
glace	K28CK27EM29
bassin, piscine	K28M24Q1EM29IM24
neige	K28CO32DO78EI0M29
flocon	K28O61CO32EI0M29Q49
gel	K28EM29GK27
riz	O28CM10EQ29GM10
boue	O28Q1EQ29IQ25
marais, marécage	O28Q25EQ29
ile	O28EQ29IQ1QO28UQ29
sperme	M29EK28IK28M29
fertilisation	M29EK28GI2IK28M29
stérilisation	I0I41M40GM25MK28QM29SI2UK28M29
contraceptif	M29EK28IK28M29OI0
sentiment	I8EI9
expression	I8CK26EI9
repos, tranquille	I8Q1EI9
inconfort	H17BI8Q1FI9
tissu, étoffe	K1O1CI0GI0
numéro	O1BI14CK1FI14
maison, batiment	I40M24Q1EI41IM24
garage	I40M24M26M32M77Q1EI41M26M32M77IM24
caravane, mobile-home	E40I24M1M26M32EE41M26M32II24
cour, jardin	I40M24Q1EI41IM24Q1KM62QM24
haie, muret	I40M24Q1EI41IM24Q1QM24SM63
cheminée	I40M24Q1EI41II0KI63
oreille	I9
son	I9Q25
surdité	I17CI9Q25
continue	M1CM24GK61
monte	I60CI0
gaz	I60K26CI0
bulle	K61DI60K26FI0
donne	M19CI60EI0
échange	M19CI60O62EI0
rencontre	M1GK61KK63M1
rivière	M1O28EQ29GK61
accord	K1O1GI61M61
va et vient	M1O63Q1GK61
à travers	K74EI0
visite	M1EI40M24Q1GK61II41MM24
comprend	M1EI18M24Q1GK61MM24
entre dans, pénêtre	M1EI3GK61
écrase	M1GK61KK26QK63M1
pousse	M1GK61KK27
presse	M1GK61KK27QK63M1
arrive, termine, fin	M1GK61II0
course	Q1EM1GO61KK61
s'écrase	Q1CO62EI0
miroir	I41M40O49Q48EI0
succès	G78
explosif	K63M25EG60K27Q62GG24O24IM25KK61
réunion, rassemblement	M25CK61EI62O60GG24O24IK63M25
année	I2GK62
orbite	I2EO63
atome	I2DL50EO63
noyau	I2BL95DL50EO63
tournoie	M60CM19GI11
mélange	I18CM60EM19GL62
saute	M18GO62
tourne	I21O63
balance	M60CM19IM60
roue	M26M32M77
voyage	Q1CM26M32M77
pneu	M61EM26M77
ballon	E2M23
soleil	I2
nord	I2CJ60
est	I2FK61
sud	I2CN62
ouest	I2BK63
météo	I2K28CO62EI0M29
change	I2K28EI0M29
développe	I2K28EI0M29IK74
machine	I2CM26M77
anneau	I2CK26
melon	I2CK26EE10
lumière	I2CK26EM56
oeuf	O1CQ56GQ56KI2OI0
disque	I2EM56
tête	I2CO25EK24
menton	I2CK56O25R60EK24GK56
joue	I2CK56O25EK24GK56JK63
front	I2CH62K56O25EK24GK56
barbe	P61DI2P68FK56O25P68HK24P68JK56
cou	I2P61CN48DQ49EK49L49N48FQ49
raton-laveur	I2K28M29CM56EK28M29GM56
ours	H50I2CM56EN56GH50M56
vie	I2EI0
meurt, mort	I2I17EI0
nouveau, neuf	I2EI0M1KK61
Terre	I2I16
temps, heure, fois	I2EI24M25
poésie	I11CE26Q25EI0I10KI8OI9
métaphore, image	E26Q25CI0
fait semblant	I1CE26EE24
généralisation	I26M40M41
fille	I40CM38Q25EI41M39
garçon	I26M38CM39
enfant	I26M25Q25CM24
argent	I26M26CI0
commerce	M19CI26M26EI0
fleur	I26CM24
tige	M61BI26DM24
jardin	Q1CI26EM24
plante	I26CM10M24
parc	I26CM24Q1GI23KI0I22
bouche	K26
lèvres	H62K26P60
cassis	K26O26EM11O42
araignée	M18CK26EM31
oeil	K26CM56
cil	H62K26CM56
couleur	K26Q25CM56
nouvelles, informations	K26CI9M56
lunettes	K26CM56EJ28IK26KM56
aveugle, cécité	I17BK26DM56
goût	I14K26Q25
nourriture	K26Q25
est, existe	K26CK24
arrive, survient	K26Q25CK24
muet	I17CK26
nom	I16CK26
langue, langage	K26CI9
combinaison	K26CK26
crache	K26EM11
baiser, embrasse	K26EK26
raisin	I26CM26EG10I26
noeud papillon	K26CO60EK26
balle	M26O25
écouteurs	M26CI18IM26
fruit	M26CI10
prune	M26N54CI10N55
cerises	M26N54CI10N55EI30M26N54GN55
tube	M26CM1Q1
fume	M26CQ1IM30KI31
pipe	M26CQ1IM24M30KI31Q48MM24NM63
cigarette	M26CQ1ER60IM30KI31
bébé fille	K26EK37M36IK24
bébé garçon	K26EK37M36
bébé	K26EK24M25IK24
ciseaux	M26EI0M26
note de musique	M26EI24M49
conscience	E18I18
pardonne	E18I18M1EI0GK61
moral	E18I18CM25EK24
immoral	E18I18CM25
esprit, intellect	I18
souhaite	I18CM30EI31
permet, autorise	I18K74EI0
décision	I18K74II0
idée	I18CO62EI0
opinion, avis	I18CK26
observe, examine	I18CK26EM56
absurde	I16I17I18CK26EM56
état d'esprit	I18CK26EK24
fait	I18CK26Q25EK24
signifie	I16I18CK26
utilise, usage	I18M41CK27EI0
connaissance	I18M24Q1IM24
plan, prévoit	I18M40Q1EM41
espèce	I18CM25EK56O56
éventail	I18M41EM40
bon, bien	I18CM25EK24
science	I14I18Q1EI15
vérité	I14I18Q1DL81EI15
mathématiques	I14I18Q1CN54EI15K49N55
coléoptère	M38CI18M1M39EM38GM39IM38KM39
tortue	I18M1M38CM39EM38GM39II40
mauvais	I8EI9KI18MM25UK80
jugement	I18CM25M38Q25EM39
égoïsme	I18BM85EI0
altruisme	I18EI0FM86
doute, hésite	I18DK81
intéressant	I18EK80
important	I18DK80FK80
calcul	I18CN54EJ49N55
commande	I18IM1OK61
cygne	M18O28EQ29GI30II65M31
poisson	M18M19
matin	I2Q1KM56MI0OM85SM86
horizon	O61DM18Q1
courbe	I21
tient	M19
flotte	M19O28EQ29
prend	M19IK74
palmier	G42EG42I0
pomme	K42M19EI10K42
pêche	K42M19CN54EI10K42N55
chou	M11Q1CK42EM10
valise	M1M24Q1CK42IM24
sac	I24M19II24
dromadaire	M1M38CK42M39EM38GM39II40MI65
chameau	K42M1M38CM39EK42M38GM39II40MI65
bison	K42M1M38CM39EK43M38GM39
personne	Q25CI0
personne, être	Q25CI0
homme	M38CI24M39
femme, féminin	M38Q25CI24M39
garçon	I26M38CM39
fille	I26M38Q25CM39
médecine	I30CI0M31
gauche	I25EI0
droite	I0I25
parent	I40CQ25EI0I41
corps	I6CI1Q1KI7
champignon	K42M25CM24
serpent	M42EO43IM42
dauphin	K45CI18K28GM29
cochon, porc	I43CI44EM1M38GM39IM38KM39
spirale	I34K43CK34M43EM34O43
pistolet	M1M43
pince, tenaille	I44CM40M41GI45
chien	I44CM1M38EM39GM38IM39
queue	I61EI44GM1M38IM39KM38MM39
ananas	E11CI42K24O43EE10E24GK24
ailes	I11EI10
avion	I11CM26M77EI10
rapace	I11M66DM94EI10M66
serre	I40M24Q1EI41IM24KI26MM10M24
ange	I11CQ25EI0I10
mouche	M38CI11M39EM38GI10M39IM38KM39
oiseau	I11CM60EI10
chauve-souris	I11M1M38CM39EI10M38GM39
rideaux	I0I1I23EI22II0
arbre	I23EI0I22
branche	K61DI23HI0I22
tronc	I23BM61EI0I22
résineux	I23K23EI0I22K22
campagne	I23Q1EI0I22
citrouille, potiron	I2Q1Q23CK26
trèfle	M26Q23CI26EM26
fromage	M22M25EM24
herbe	M10
céréale	M10EM10
champ	M10Q1EM10
fer à repasser	M10Q1EK42M25IM24
castor	M10M23EM1M38Q28GM39IM38S29KM39
coquillage	M4O1O5Q28ES29
passé	I7
présent	I7EI6
lune	I7I21
banane	E10I7I21
futur, avenir	I6
haricot	I6CK26GI7
pois	I6DJ50N50GI7
attente	I18CI6EL79
assurance	I40CI6DL79EI41
feuille	I6CI0I7
citron	I6CE10I7
papillon	I6CI7EI6GI7
seins	I6CI1M60Q1GM60KI7
entrejambe	I6CI1Q1ER60KI7
côté, côte	K61EI6GI1Q1OI7
taille	K61DI6FI1Q1NI7QK63
épaule	F62I6CI1Q1KI7
estomac	I6CI1Q1EK62KI7
embryon	I6CI1Q1EK26GK24KI7
foetus	I6CI1K26Q1GK24M25KI7K24
utérus	I6CI1Q1EK38O25GK39KI7
accouchement	I6CI1K26Q48ES62GK24M25Q24IQ48KI7K24
